name,slctd,rank,name,slctd,rank,name,slctd,rank,diff,name,slctd,rank,diff
TOI-5388,1,130,TOI-727,1,138,TOI-727,1,138,-1,HD 42813,1,139,0
K2-174,1,132,HD 42813,1,140,HD 42813,1,140,-1,HD 42813,1,139,0
TOI-2128,1,133,HD 42813,1,140,HD 42813,1,140,-1,HD 42813,1,139,0
TOI-1695,1,134,HD 42813,1,140,HD 42813,1,140,-1,TOI-6871,1,140,1
TOI-5788,1,135,TOI-6871,1,141,TOI-6871,1,141,0,TOI-5169,1,141,1
TOI-5788,1,135,TOI-5169,1,142,TOI-5169,1,142,0,HIP 113103,1,142,1
TOI-727,1,137,HIP 113103,1,143,HIP 113103,1,143,0,HIP 113103,1,142,1
TOI-727,1,137,HIP 113103,1,143,HIP 113103,1,143,0,TOI-2287,1,143,1
HD 42813,1,139,TOI-2287,1,144,TOI-2287,1,144,0,HD 118203,1,144,1
HD 42813,1,139,HD 118203,1,145,HD 118203,1,145,0,TOI-4185,1,146,
HD 42813,1,139,TOI-4185,1,147,TOI-4185,1,147,,Kepler-138,1,147,
TOI-6871,1,141,Kepler-138,1,148,Kepler-138,1,148,,Kepler-138,1,147,
TOI-5169,1,142,Kepler-138,1,148,Kepler-138,1,148,,Kepler-138,1,147,
HIP 113103,1,143,Kepler-138,1,148,Kepler-138,1,148,,TOI-1643,1,149,
HIP 113103,1,143,LP 791-18,1,272,TOI-7182,1,150,,TOI-1752,1,150,
TOI-2287,1,144,LP 791-18,1,272,,,,,TOI-1752,1,150,
HD 118203,1,145,LP 791-18,1,272,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
