# from https://www.stsci.edu/hst/instrumentation/focus-and-pointing/fov-geometry
# Aperture  ProposalID   Xref      Yref     V2ref     V3ref    Xscale    Yscale    Betax    Betay
#                          pixels            arc-seconds         arcsec/pixel         degrees
#
OFUV                       1040.66   1041.68 -213.6796 -224.8351  0.012371  0.012371   45.0000  135.0000
ONUV                       1040.65   1041.67 -213.6796 -224.8351  0.012375  0.012375   45.0000  135.0000
OVIS                        537.00    516.00 -213.6796 -224.8351  0.050763  0.050777   45.0559  135.0559
OV31X050C   31X0.05NDC      535.93    516.00 -213.6731 -224.8285  0.050763  0.050777   45.0559  135.0559
OF330X050   0.3X0.05ND     1035.36   1041.67 -213.6722 -224.8276  0.012371  0.012371   45.0000  135.0000
ON330X050   0.3X0.05ND     1035.36   1041.67 -213.6744 -224.8298  0.012375  0.012375   45.0000  135.0000
OV330X050   0.3X0.05ND      535.72    516.00 -213.6806 -224.8360  0.050763  0.050777   45.0559  135.0559
OF200X050   0.2X0.05ND     1035.65   1041.67 -213.6697 -224.8251  0.012371  0.012371   45.0000  135.0000
ON200X050   0.2X0.05ND     1035.65   1041.67 -213.6719 -224.8273  0.012375  0.012375   45.0000  135.0000
OV200X050   0.2X0.05ND      535.79    516.00 -213.6781 -224.8335  0.050763  0.050777   45.0559  135.0559
OF050X31B   0.05X31NDB     1034.28   1041.67 -213.6815 -224.8369  0.012371  0.012371   45.0000  135.0000
ON050X31B   0.05X31NDB     1034.28   1041.66 -213.6837 -224.8391  0.012375  0.012375   45.0000  135.0000
OV050X31B   0.05X31NDB      535.46    516.00 -213.6900 -224.8454  0.050763  0.050777   45.0559  135.0559
OF050X31A   0.05X31NDA     1034.49   1041.67 -213.6797 -224.8352  0.012371  0.012371   45.0000  135.0000
ON050X31A   0.05X31NDA     1034.49   1041.66 -213.6819 -224.8373  0.012375  0.012375   45.0000  135.0000
OV050X31A   0.05X31NDA      535.51    516.00 -213.6882 -224.8436  0.050763  0.050777   45.0559  135.0559
OFL050F1    52X0.05F1      1029.75    961.79 -214.4702 -224.2330  0.012371  0.012371   45.0000  135.0000
OFL050R1    52X0.05F1-R    1031.47   1041.67 -213.7591 -224.9144  0.012371  0.012371   45.0000  135.0000
ONL050F1    52X0.05F1      1029.74    961.81 -214.4702 -224.2330  0.012375  0.012375   45.0000  135.0000
ONL050R1    52X0.05F1-R    1031.47   1041.66 -213.7591 -224.9144  0.012375  0.012375   45.0000  135.0000
OVL050F1    52X0.05F1       534.35    496.61 -214.4702 -224.2330  0.050763  0.050777   45.0559  135.0559
